79,80,62,100,20,57,37,35,70,38,9,31
5,80,4,21,54,17,99,37,20,57,10,44
5,79,80,44,4,57,55,75,89,94,21,13
5,50,70,1,12,67,32,88,53,58,54,66
1,5,4,35,58,54,20,90,21,30,49,56
50,80,12,13,14,53,21,88,35,56,9,55
50,79,80,35,85,53,12,1,21,100,75,17
5,29,73,44,72,74,76,39,70,71,67,28
1,80,4,8,9,20,49,16,35,62,2,52
1,79,4,80,20,100,89,8,85,44,2,83
63,96,27,23,86,93,59,17,55,26,99,69
29,62,70,74,72,73,67,38,31,39,6,28
62,80,20,44,72,73,76,71,12,66,55,89
62,79,80,20,85,83,94,73,71,82,76,72
29,80,73,72,70,74,67,76,68,62,71,28
29,79,72,73,70,44,76,67,74,94,80,66
29,36,70,72,73,74,67,38,76,71,31,68
5,36,35,54,34,13,4,56,86,9,38,59
1,50,10,12,52,53,20,88,4,6,70,8
36,46,34,37,38,9,70,44,31,85,69,32
