1,3,29,4,7,6,2,8,12,93,59,91
52,65,16,51,26,17,57,40,56,36,54,61
52,56,16,21,77,51,26,17,76,57,79,40
45,64,90,91,10,65,56,87,67,89,63,46
38,46,21,48,51,26,44,53,39,57,40,56
33,64,11,23,65,6,39,70,10,89,15,93
13,46,16,21,17,4,19,6,12,74,93,59
64,65,10,70,6,39,11,15,93,59,91,97
56,100,77,76,79,52,95,19,78,14,67,18
56,92,77,76,93,87,79,52,95,19,78,14
56,76,77,79,52,95,19,78,14,81,18,64
52,100,16,51,26,17,57,40,56,36,54,61
52,64,16,51,26,17,10,23,65,57,40,56
46,52,16,21,51,26,17,57,40,56,36,54
38,64,48,51,26,46,44,10,53,23,20,39
33,45,90,91,56,87,67,63,46,88,36,6
31,52,16,51,26,17,64,57,40,56,36,54
18,73,28,74,33,11,12,75,34,56,93,89
3,46,21,29,4,1,6,5,12,74,93,59
85,99,93,42,12,25,59,91,97,5,27,70
