1,3,84,4,5,8,92,77,85,96,65,99
52,65,64,6,38,70,39,18,51,11,14,53
52,56,51,26,53,38,46,57,48,40,6,55
45,64,56,91,90,10,51,28,46,73,40,53
38,46,79,87,11,12,51,94,59,18,33,65
33,64,52,18,14,13,38,19,53,51,57,46
13,46,44,76,19,14,77,53,52,48,64,38
64,65,51,53,52,14,13,19,57,26,77,46
56,100,46,51,82,95,20,26,16,6,55,38
56,92,46,91,16,95,61,26,1,36,51,84
56,76,77,95,78,36,51,40,26,79,82,88
52,100,51,46,19,38,6,13,18,20,55,53
52,64,23,10,69,49,91,28,79,89,7,35
46,52,53,19,14,38,76,77,51,48,18,6
38,64,52,18,79,69,13,19,76,14,77,87
33,45,56,90,91,16,46,10,61,78,15,18
31,52,15,51,28,6,48,38,53,14,89,30
18,73,19,28,51,52,14,74,39,34,26,53
3,46,44,26,53,57,38,48,40,63,51,27
85,99,51,38,57,94,46,20,26,44,56,48
