6,54,81,99,89,100,19,28,18,40,53,52
40,41,77,46,38,22,54,68,59,96,61,90
21,40,18,89,1,58,62,71,77,6,63,98
53,54,99,81,29,19,32,100,86,68,28,12
49,54,99,81,100,53,19,76,89,51,29,15
49,53,29,68,89,12,32,19,59,51,37,66
40,53,89,39,18,63,38,10,29,91,12,6
9,53,39,29,68,49,54,12,19,59,28,99
48,71,98,38,90,91,58,2,21,76,11,53
38,41,77,89,46,18,58,40,22,60,65,69
37,79,67,89,84,24,97,26,58,69,71,96
34,65,57,18,3,100,67,6,87,7,74,17
34,55,58,46,96,68,49,84,21,30,50,91
33,58,89,18,67,71,14,77,27,20,41,51
32,79,29,84,69,26,99,97,18,24,30,72
23,71,81,89,80,82,21,84,43,22,30,12
11,49,91,38,9,90,48,14,62,18,40,84
11,48,21,71,58,14,9,98,50,15,30,96
6,65,87,18,74,84,100,67,40,99,69,7
6,41,40,18,89,77,60,4,46,76,20,1
