13,72,71,100,87,99,93,38,59,74,33,15
13,79,90,87,38,63,24,80,14,15,88,20
72,79,71,90,100,87,99,93,38,59,74,33
13,22,87,93,38,59,33,7,95,96,89,17
8,13,87,6,89,38,3,1,63,24,14,15
27,64,93,96,33,95,7,94,17,5,56,44
22,79,90,87,93,33,95,7,96,94,17,56
17,64,44,93,96,33,7,95,94,5,56,27
13,74,72,18,15,14,24,88,51,52,20,8
13,51,87,89,38,63,24,80,14,15,88,26
8,72,71,100,87,99,93,38,59,74,77,33
4,71,100,87,99,93,38,59,74,33,7,95
64,74,93,96,95,33,88,94,7,17,72,19
51,79,90,24,88,21,100,43,83,3,96,9
51,72,71,100,87,99,93,38,59,74,33,7
45,71,100,87,99,93,38,59,74,33,7,95
38,79,90,24,88,21,100,43,83,3,96,9
38,72,71,100,87,99,93,74,33,7,68,95
29,72,71,100,87,99,93,59,38,74,33,7
26,74,59,88,89,72,19,86,22,63,48,51
