"Name","K","Kin","Kout","TypeI","TypeII"
"TUBA4A",23,16,7,0,1
"TGFBR1",118,80,38,0,1
"SMURF2",78,59,19,0,1
"ARHGDIA",54,52,2,0,1
"VAV1",36,28,8,0,1
"GNA12",33,24,9,0,1
"GNA13",65,54,11,0,1
"ARHGEF12",54,48,6,0,1
"CD44",23,20,3,0,1
"IGF1R",184,169,15,0,1
"ARHGEF7",28,22,6,0,1
"CBLB",46,38,8,0,1
"SMARCE1",29,25,4,0,1
"E2F1",670,66,604,0,1
"SIN3A",61,55,6,0,1
"GAPDH",66,49,17,0,1
"UBR1",39,29,10,0,1
"ARL4D",26,25,1,0,1
"ATP5J2",11,9,2,0,1
"WAS",25,12,13,0,1
"MDM2",155,144,11,0,1
"ARRB2",38,25,13,0,1
"FLNA",71,58,13,0,1
"MAPK1",182,157,25,0,1
"MED8",47,42,5,0,1
"HCK",35,25,10,0,1
"ASCC2",18,14,4,0,1
"TBC1D17",17,15,2,0,1
"H3F3A",18,17,1,0,1
"ASGR1",19,17,2,0,1
"DHFR",11,9,2,0,1
"PFDN1",12,7,5,0,1
"CREB1",375,73,302,0,1
"SPI1",328,20,308,0,1
"HMGA1",90,80,10,0,1
"JUN",400,58,342,0,1
"CEBPG",46,42,4,0,1
"CDC34",21,20,1,0,1
"DISC1",34,32,2,0,1
"LUC7L2",52,44,8,0,1
"EIF4EBP1",54,51,3,0,1
"STK11",45,40,5,0,1
"TOPBP1",29,26,3,0,1
"WRN",26,24,2,0,1
"XRCC5",51,45,6,0,1
"ATN1",46,32,14,0,1
"DMPK",31,28,3,0,1
"EWSR1",44,24,20,0,1
"TRIP6",24,17,7,0,1
"CSE1L",59,57,2,0,1
"RASSF1",19,12,7,0,1
"ATP5C1",21,18,3,0,1
"ATR",19,13,6,0,1
"CDK6",145,142,3,0,1
"DAZAP2",119,112,7,0,1
"RBPMS",34,32,2,0,1
"RAD23A",22,16,6,0,1
"RNF11",105,85,20,0,1
"NME1",23,19,4,0,1
"PPP1CA",32,26,6,0,1
"PPP1CC",67,64,3,0,1
"PRKCA",126,76,50,0,1
"GNAS",57,54,3,0,1
"AXIN1",37,20,17,0,1
"PPP2CA",99,88,11,0,1
"PPP2CB",25,24,1,0,1
"CBL",107,80,27,0,1
"IL2RG",11,8,3,0,1
"LCK",63,34,29,0,1
"SHC1",41,33,8,0,1
"B2M",30,29,1,0,1
"BCL2L1",64,56,8,0,1
"MAPK8",87,80,7,0,1
"YWHAQ",95,82,13,0,1
"BCL2",98,85,13,0,1
"PHYHIP",42,37,5,0,1
"HDHD2",15,13,2,0,1
"SHANK1",14,5,9,0,1
"NCKIPSD",46,43,3,0,1
"NFIL3",23,21,2,0,1
"CREB3L3",5,2,3,0,1
"BID",40,33,7,0,1
"MAP3K7",72,63,9,0,1
"CASP8",47,28,19,0,1
"BCAR1",33,26,7,0,1
"CD2AP",80,77,3,0,1
"FAM46A",52,50,2,0,1
"BCL10",27,20,7,0,1
"IKBKG",47,42,5,0,1
"CYCS",83,82,1,0,1
"HRK",56,55,1,0,1
"FOS",409,54,355,0,1
"NFKB2",78,12,66,0,1
"ERCC3",17,14,3,0,1
"RBL1",75,70,5,0,1
"BMP4",12,8,4,0,1
"CSNK2A2",34,26,8,0,1
"DNM2",43,38,5,0,1
"CASP7",25,22,3,0,1
"DIABLO",22,19,3,0,1
"TRAF1",66,53,13,0,1
"UBB",38,24,14,0,1
"BLK",4,2,2,0,1
"SUMO2",50,45,5,0,1
"BLNK",15,13,2,0,1
"TPI1",27,25,2,0,1
"BMI1",55,52,3,0,1
"RING1",17,14,3,0,1
"BMPR2",105,92,13,0,1
"GDF9",10,4,6,0,1
"TUBB",80,68,12,0,1
"BMX",8,7,1,0,1
"ITK",19,16,3,0,1
"GNB5",40,37,3,0,1
"ROBO2",46,38,8,0,1
"MAP2K1",52,45,7,0,1
"BRCA2",20,16,4,0,1
"CDK2",101,92,9,0,1
"KPNA2",84,81,3,0,1
"MNAT1",17,16,1,0,1
"NFYA",289,60,229,0,1
"RFC1",21,19,2,0,1
"BTBD2",27,25,2,0,1
"RBL2",48,42,6,0,1
"RBP1",11,8,3,0,1
"PDLIM7",17,14,3,0,1
"TRIM5",12,11,1,0,1
"BTK",41,10,31,0,1
"LYN",103,68,35,0,1
"MYD88",31,24,7,0,1
"PLCG2",79,63,16,0,1
"PRKCQ",14,9,5,0,1
"SYK",57,26,31,0,1
"TNFRSF14",21,14,7,0,1
"BTRC",72,61,11,0,1
"SKP1",50,45,5,0,1
"SUFU",33,31,2,0,1
"BUB1",52,48,4,0,1
"PLK1",61,40,21,0,1
"BUB1B",11,9,2,0,1
"C11orf58",31,25,6,0,1
"EEF1G",36,19,17,0,1
"KIAA1377",44,19,25,0,1
"RPLP1",49,41,8,0,1
"SF3B1",49,43,6,0,1
"C14orf1",27,22,5,0,1
"C19orf57",7,6,1,0,1
"TSNAX",20,18,2,0,1
"C1QBP",23,22,1,0,1
"CTSG",11,6,5,0,1
"FGFR3",23,15,8,0,1
"C8orf33",37,35,2,0,1
"FEZ1",15,5,10,0,1
"IMMT",31,21,10,0,1
"CCNE1",44,38,6,0,1
"CACHD1",19,18,1,0,1
"CACNA1C",71,70,1,0,1
"MPP3",8,7,1,0,1
"CALCOCO2",44,37,7,0,1
"GPRASP2",21,10,11,0,1
"STRN4",30,25,5,0,1
"PLAT",22,20,2,0,1
"PLP1",15,14,1,0,1
"THBS1",110,100,10,0,1
"TRAF6",63,36,27,0,1
"CAMK2A",26,24,2,0,1
"KCNA3",9,7,2,0,1
"RYR1",8,4,4,0,1
"EBI3",14,13,1,0,1
"CAPNS1",24,20,4,0,1
"CAPRIN1",70,69,1,0,1
"RPP14",36,34,2,0,1
"EPB41",67,50,17,0,1
"PRKD2",28,24,4,0,1
"PLA2G4A",39,32,7,0,1
"EIF2AK2",70,55,15,0,1
"NEDD4",54,50,4,0,1
"STK4",92,91,1,0,1
"TOP1",31,29,2,0,1
"RIPK1",13,9,4,0,1
"RYBP",95,92,3,0,1
"PRKCZ",26,9,17,0,1
"PTPN11",83,48,35,0,1
"HRAS",45,24,21,0,1
"ILK",39,29,10,0,1
"CD5",17,14,3,0,1
"INSR",72,48,24,0,1
"ITCH",34,32,2,0,1
