13,72,78,38,94,59,71,89,3,99,95,100
13,79,90,56,87,19,98,33,77,92,14,27
72,79,90,93,26,33,37,7,15,95,78,17
13,22,87,33,38,89,95,93,56,59,17,85
8,13,6,87,80,90,46,2,1,3,89,63
27,64,33,93,94,95,87,56,71,96,5,59
22,79,78,87,90,98,99,3,19,74,100,15
17,64,33,93,95,87,7,94,96,5,37,38
13,74,25,56,38,78,50,60,20,46,33,59
13,51,71,95,59,100,37,38,99,93,78,17
8,72,87,33,26,93,56,7,2,89,38,96
4,71,93,95,99,33,59,37,7,74,26,38
64,74,3,96,94,86,6,77,16,93,55,43
51,79,78,90,98,15,99,19,74,94,77,93
51,72,3,100,24,52,97,88,99,59,65,74
45,71,33,93,95,99,59,26,74,17,38,87
38,79,78,99,74,37,15,100,71,95,93,68
38,72,33,7,93,39,26,97,87,96,17,56
29,72,97,39,3,90,52,26,98,88,7,1
26,74,89,63,87,38,17,85,93,33,80,96
