1,3,84,4,5,8,92,77,85,96,65,99,79,19,30,87,43,76,2,34,16,88,12,21,91,27,17,25,50,44,93,80,52,94,37,53,78,74,40,9,100,18,46,95,73,83,68,14,70,51,7,36,10,63,69,45,28,35,90,47,86,57,56,24,49,75,32,22,54,15,97,13,59,41,66,33,23,39,67,81,62,89,26,64,42,48,29,11,98,60,20,55,38,82,6,71,58,61,31,72,1,3
52,65,64,6,38,70,39,18,51,11,14,53,48,26,10,19,42,55,57,43,33,62,24,28,79,77,15,44,45,76,35,46,32,25,85,13,69,40,54,90,27,73,37,94,72,23,61,80,93,68,91,96,50,34,30,21,4,36,86,12,41,82,87,78,3,20,74,83,1,95,9,71,59,8,7,56,97,75,84,29,67,58,92,49,22,17,66,100,47,88,60,99,5,98,2,89,81,63,31,16,52,65
52,56,51,26,53,38,46,57,48,40,6,55,42,14,61,39,18,19,44,95,54,87,62,43,24,20,15,59,36,64,88,82,27,16,13,84,47,30,78,10,41,1,85,35,49,33,25,67,5,21,70,63,45,28,77,80,97,32,91,89,90,75,74,65,9,4,17,66,79,71,92,99,29,37,98,68,60,7,86,31,76,8,23,94,22,3,83,73,11,34,12,72,2,81,69,93,58,96,100,50,52,56
45,64,56,91,90,10,51,28,46,73,40,53,32,69,57,14,52,67,23,74,13,61,39,6,34,49,38,20,50,26,48,44,47,54,79,42,97,92,80,59,75,76,88,11,33,78,15,62,7,16,70,94,36,87,86,66,29,18,31,41,77,19,12,63,43,60,35,55,83,22,71,98,17,24,95,72,85,3,27,65,4,96,5,84,81,37,25,21,89,82,2,100,9,68,58,1,93,99,8,30,45,64
38,46,79,87,11,12,51,94,59,18,33,65,40,69,99,88,35,32,96,97,57,16,74,64,91,53,37,36,71,29,100,84,78,72,90,67,62,4,31,75,9,48,55,58,17,95,2,66,1,30,93,20,98,61,6,52,7,34,25,68,5,14,45,56,86,26,41,42,44,81,89,24,76,3,15,21,27,13,83,70,28,23,22,39,50,80,19,63,8,47,77,73,54,49,43,10,60,82,92,85,38,46
33,64,52,18,14,13,38,19,53,51,57,46,26,39,76,6,77,48,44,56,28,24,61,55,73,70,85,43,27,15,42,11,54,40,63,34,20,32,59,97,22,10,74,30,89,7,91,67,98,35,69,80,88,62,1,79,25,87,37,45,29,94,2,83,47,86,71,65,17,96,68,78,81,49,84,21,93,66,75,90,60,58,95,4,3,92,72,50,5,41,99,9,16,36,31,23,82,12,8,100,33,64
13,46,44,76,19,14,77,53,52,48,64,38,95,70,15,62,18,6,26,82,32,24,43,17,33,27,29,12,57,28,47,16,55,92,93,100,49,51,25,42,96,1,66,41,59,39,87,67,97,68,78,9,21,10,40,7,20,23,35,37,94,89,54,36,61,79,86,98,85,30,34,31,83,2,81,88,60,72,56,58,63,75,73,99,69,5,50,45,90,8,80,91,4,84,11,3,71,22,65,74,13,46
64,65,51,53,52,14,13,19,57,26,77,46,48,56,40,6,38,39,76,20,18,97,42,1,47,44,69,55,91,67,61,43,24,54,66,84,11,16,63,30,59,27,50,75,15,7,49,70,41,87,31,33,92,83,86,21,22,10,25,23,4,68,93,17,85,80,45,3,88,89,28,90,98,5,35,99,74,37,60,62,78,82,79,71,72,12,8,95,96,36,81,2,100,32,58,94,73,34,29,9,64,65
56,100,46,51,82,95,20,26,16,6,55,38,40,54,53,57,18,76,48,47,92,99,39,1,61,78,62,59,19,84,94,13,97,15,29,11,30,25,45,79,43,41,5,24,21,44,88,63,50,73,22,77,14,52,71,36,74,64,4,67,10,60,32,90,23,80,89,3,37,8,69,83,70,12,42,34,9,7,49,86,72,91,27,35,98,17,65,75,28,81,58,85,33,87,68,31,2,66,93,96,56,100
56,92,46,91,16,95,61,26,1,36,51,84,62,55,57,10,53,20,90,86,45,82,97,4,73,37,77,27,59,40,76,60,42,78,54,74,87,6,99,94,70,93,30,100,48,21,98,32,18,8,43,52,12,29,39,79,5,85,17,88,68,96,13,11,44,14,35,22,34,83,7,64,49,24,75,63,25,41,66,3,15,47,9,69,65,71,80,19,50,23,72,38,89,28,33,58,31,81,67,2,56,92
