37,46,72,70,76,73,74,48,89,52,47,77
5,85,15,11,13,6,7,38,14,87,84,39
5,46,37,15,72,70,76,13,74,73,6,48
46,85,37,72,70,76,13,74,73,48,89,38
37,63,72,70,76,80,73,74,61,89,78,77
46,63,37,72,70,76,80,74,73,48,89,52
64,93,95,94,28,99,43,63,85,46,98,75
37,44,63,72,70,76,80,73,74,89,61,77
1,5,15,13,6,7,14,3,4,12,17,20
82,99,81,64,43,54,63,85,46,95,98,75
63,83,20,80,85,19,78,38,87,79,75,39
46,99,37,72,70,76,74,73,48,89,52,47
46,82,37,72,70,76,74,73,48,89,52,47
46,62,37,72,70,76,74,73,48,89,52,47
44,96,63,80,21,79,78,64,75,97,59,61
44,62,63,80,79,78,64,75,59,61,20,31
44,46,63,37,72,70,76,80,74,73,48,89
38,85,13,87,84,12,88,17,25,11,58,99
37,96,72,70,76,73,74,21,89,77,23,71
37,72,70,73,74,89,71,69,29,24,62,48
