37,46,73,89,70,72,77,74,76,23,29,71
5,85,13,15,38,7,87,39,12,6,11,14
5,46,15,47,7,6,53,13,14,63,37,70
46,85,47,18,38,87,25,13,70,89,39,37
37,63,73,24,72,89,74,77,70,23,76,80
46,63,80,79,78,24,18,47,70,53,44,45
64,93,94,76,23,80,73,37,75,44,70,63
37,44,73,72,70,89,77,74,24,23,76,63
1,5,7,15,76,13,6,73,14,89,72,74
82,99,45,93,65,7,55,69,98,85,34,81
63,83,80,75,78,44,79,20,59,87,39,38
46,99,47,18,55,70,53,48,37,89,52,49
46,82,47,18,52,81,70,53,89,55,37,29
46,62,18,53,36,76,47,49,60,96,52,35
44,96,63,80,78,75,64,79,94,76,20,62
44,62,63,80,76,78,75,64,79,37,72,89
44,46,63,80,79,78,18,47,45,55,53,70
38,85,39,99,35,44,93,64,7,24,42,3
37,96,73,89,72,70,77,74,76,23,71,48
37,72,73,77,89,43,28,71,29,69,92,48
