79,80,9,89,45,83,61,88,87,78,69,91
5,80,1,2,20,56,89,45,44,4,58,10
5,79,1,2,20,56,89,44,80,4,10,35
5,50,1,2,20,56,54,44,58,4,10,35
1,5,2,20,56,44,58,4,10,35,8,54
50,80,89,42,54,45,53,47,9,92,48,15
50,79,89,80,42,86,54,53,9,75,48,88
5,29,1,2,20,56,44,58,76,4,72,10
1,80,2,20,89,4,10,42,14,47,17,22
1,79,2,20,89,80,4,10,86,42,14,17
63,96,26,27,93,97,45,5,73,60,20,44
29,62,60,44,72,66,70,31,73,67,68,69
62,80,60,89,70,31,69,85,45,47,9,16
62,79,60,89,80,70,31,9,16,75,48,74
29,80,89,44,76,72,66,70,71,69,73,67
29,79,89,44,80,76,72,66,70,71,73,86
29,36,62,44,72,60,66,70,31,73,67,68
5,36,1,62,2,20,56,44,58,16,4,10
1,50,2,20,4,10,53,8,41,42,22,17
36,46,62,60,70,31,6,85,16,74,45,5
